trials_3.thisTrialN,trials_3.stepSize,trials_3.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,trials_3.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate
183,0.5,1.5,200.0806656,200.580507,200.580507,200.580507,200.8796924,left,-1.5,1,1,0.5512121,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
184,0.5,1.5,201.1630435,201.6628567,201.6628567,201.6628567,201.962065,left,-1.5,1,1,0.3226042,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
185,0.5,1,202.0119407,202.5120081,202.5120081,202.5120081,202.8116789,left,-1,1,1,0.3689555,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
186,0.5,1,202.9113193,203.4106595,203.4106595,203.4106595,203.7102318,left,-1,1,1,0.3212521,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
187,0.5,0.5,203.7603668,204.2601992,204.2601992,204.2601992,204.5593961,right,0.5,0,0,0.3774555,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
188,0.5,1,204.6595118,205.1592765,205.1592765,205.1592765,205.4590984,right,1,1,1,0.5700771,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
189,0.5,1,205.75855,206.2584112,206.2584112,206.2584112,206.5583526,right,1,1,1,0.5608632,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
190,0.5,0.5,206.8408168,207.3406134,207.3406134,207.3406134,207.6405214,left,-0.5,1,1,0.356508,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
191,0.5,0.5,207.7233191,208.2234291,208.2234291,208.2234291,208.5226886,left,-0.5,0,0,0.5332574,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
192,0.5,1,208.7718986,209.2719477,209.2719477,209.2719477,209.5717444,left,-1,0,0,0.3146527,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
193,0.5,1.5,209.6046707,210.1046628,210.1046628,210.1046628,210.4043916,right,1.5,1,1,0.424176,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
194,0.5,1.5,210.5540603,211.0538886,211.0538886,211.0538886,,right,1.5,0,0,0.2594607,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
195,0.5,2,211.3362934,211.8359748,211.8359748,211.8359748,212.135766,left,-2,1,1,0.3952059,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
196,0.5,2,212.2532322,212.7517331,212.7517331,212.7682872,213.0513067,right,2,1,1,0.3861439,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
197,0.5,1.5,213.1682706,213.6679459,213.6679459,213.6679459,213.9669706,right,1.5,1,1,0.466449,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
198,0.5,1.5,214.1670546,214.6661269,214.6661269,214.6832136,214.9664255,right,1.5,1,1,0.4336416,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
199,0.5,1,215.1322132,215.6325642,215.6325642,215.6325642,215.9320806,left,-1,0,0,0.3783562,K,1,2023-09-06_21h58.59.794,Lab3,2023.1.3,60.2023763
